Type,Trans Date,Post Date,Description,Amount
SALE,09/17/2015,09/18/2015,"STARBUCKS #10516 FAIRBORN",-2.25
SALE,10/24/2015,10/26/2015,"EXXONMOBIL    97522478",-16.84
SALE,09/18/2015,09/20/2015,"HOLIDAY INN EXPRESS",-143.77
SALE,11/07/2015,11/08/2015,"FOUNDRY ON ELM",-65.11
SALE,10/28/2015,10/30/2015,"CCI MITRE CORP",-1.93
SALE,09/26/2015,09/28/2015,"STORYVILLE/MINI BAR",-11.70
SALE,10/23/2015,10/25/2015,"EXXONMOBIL    97444343",-28.12
SALE,10/09/2015,10/11/2015,"CCI MITRE CORP",-1.93
SALE,10/20/2015,10/22/2015,"MCKINNON'S MEAT MARKET",-8.63
SALE,09/23/2015,09/25/2015,"CCI MITRE CORP",-3.10
PAYMENT,09/02/2015,09/02/2015,"Payment Thank You-Mobile",1244.90
SALE,09/23/2015,10/04/2015,"CCI MITRE CORP",-6.96
SALE,10/31/2015,11/02/2015,"TUFTS MARKETPLACE ONE",-210.00
SALE,11/05/2015,11/08/2015,"MBTA DAVIS SQUARE",-20.00
SALE,10/17/2015,10/19/2015,"SOCIAL BOSTON SPORTS",-121.00
SALE,09/25/2015,09/28/2015,"STORYVILLE/MINI BAR",-18.19
SALE,08/14/2015,08/16/2015,"TREMBLANT",-23.05
SALE,09/06/2015,09/09/2015,"BUENOS AIRES BACKERY 5214",-5.48
SALE,10/25/2015,10/26/2015,"OLD PORT TAVERN",-17.00
SALE,10/30/2015,11/01/2015,"CCI MITRE CORP",-3.00
SALE,10/29/2015,11/01/2015,"CCI MITRE CORP",-1.93
SALE,10/31/2015,11/01/2015,"GOODWILL SOMERVILLE",-1.99
SALE,11/09/2015,11/10/2015,"RITE AID STORE - 10162",-4.77
SALE,08/14/2015,08/16/2015,"WWW.EVENTSONLINE.CA 86663",-15.28
SALE,08/18/2015,08/20/2015,"CCI MITRE CORP",-8.19
SALE,09/21/2015,09/22/2015,"RITE AID STORE - 10162",-17.19
SALE,10/11/2015,10/12/2015,"WHOLEFDS BKL #10508",-3.45
SALE,11/03/2015,11/05/2015,"CCI MITRE CORP",-7.81
SALE,08/13/2015,08/16/2015,"CCI MITRE CORP",-1.71
SALE,10/22/2015,10/25/2015,"CCI MITRE CORP",-1.93
SALE,09/05/2015,09/09/2015,"2006 S.A             7850",-14.29
